OBJECTID,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitu,geoaltitud,lastposupd,lastcontac
21,1590365010,a198e5,39.747743768207094,-85.838073730468750,239.469123242322752,313.259022955071657,-10.078720000000001,EJM16   ,False,False,False,1420,8427.720000000001164,8785.860000000000582,1590365009.871000051498413,1590365009.987999916076660
22,1590365020,a198e5,39.762547379833158,-85.858459472656250,240.923522984713543,313.269536038470619,-10.728960000000001,EJM16   ,False,False,False,1420,8321.040000000000873,8671.559999999999491,1590365019.930000066757202,1590365019.930000066757202
23,1590365030,a198e5,39.777490648172666,-85.878845214843750,242.665476007415805,314.055177742718058,-10.728960000000001,EJM16   ,False,False,False,1420,8214.360000000000582,8564.879999999999200,1590365029.867000102996826,1590365029.959000110626221
24,1590365040,a198e5,39.793085647841629,-85.898803710937500,244.207059894130367,316.792576396152413,-10.728960000000001,EJM16   ,False,False,False,1420,8107.680000000000291,8450.579999999999927,1590365039.819000005722046,1590365039.920000076293945
25,1590365050,a198e5,39.809378931077859,-85.916748046875000,245.225801365654831,322.072306355020146,-12.354560000000001,EJM16   ,False,False,False,1420,8008.620000000000800,8336.280000000000655,1590365049.430999994277954,1590365049.953999996185303
26,1590365060,a198e5,39.827953273967161,-85.933654785156250,245.359588171021642,328.809616251873535,-14.305280000000002,EJM16   ,False,False,False,1420,7863.840000000000146,8191.500000000000000,1590365059.677999973297119,1590365059.914999961853027
27,1590365070,a198e5,39.847457885742188,-85.945626963739812,244.999060306749897,339.472116871789865,-13.655040000000001,EJM16   ,False,False,False,3264,7726.680000000000291,8046.720000000000255,1590365069.585999965667725,1590365069.907000064849854
28,1590365080,a198e5,39.868698120117188,-85.953269626783310,245.676501223428573,349.137130243872775,-13.980160000000001,EJM16   ,False,False,False,3264,7589.520000000000437,7901.940000000000509,1590365079.624000072479248,1590365079.831000089645386
29,1590365090,a198e5,39.890053959216097,-85.957214355468750,243.498904353002985,353.205301571483062,-10.728960000000001,EJM16   ,False,False,False,3264,7459.980000000000473,7764.780000000000655,1590365089.404000043869019,1590365089.961999893188477
30,1590365100,a198e5,39.912094116210938,-85.960554039996623,240.883974016678820,353.254420352517172,-8.128000000000000,EJM16   ,False,False,False,3264,7360.920000000000073,7665.720000000000255,1590365099.476999998092651,1590365099.861000061035156
