OBJECTID,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
48,1590364820,abdd09,40.752201403601696,-82.492280439897002,209.729802902565297,287.412712127676002,0.325120000000000,SWA163  ,False,False,False,2750,12184.380000000001019,12633.960000000000946,1590364819.947999954223633,1590364819.947999954223633
49,1590364820,abef2f,41.509780883789062,-88.299990567294060,139.190142308645136,63.434948822922010,0.000000000000000,SWA6893 ,False,False,False,1210,1546.860000000000127,1577.340000000000146,1590364819.664999961853027,1590364819.973999977111816
50,1590364820,a23d25,39.779864812301376,-87.231140136718750,228.179547040949075,2.843052903211187,0.000000000000000,SWA399  ,False,False,False,3163,12192.000000000000000,12649.200000000000728,1590364819.997999906539917,1590364819.997999906539917
51,1590364830,abdd09,40.757720947265625,-82.515563964843750,209.576429105633991,287.278514061203509,-0.325120000000000,SWA163  ,False,False,False,2750,12184.380000000001019,12633.960000000000946,1590364829.667000055313110,1590364829.974999904632568
52,1590364830,abef2f,41.514953613281250,-88.286195234818877,138.730200374785710,63.339931033555374,0.000000000000000,SWA6893 ,False,False,False,1210,1546.860000000000127,1577.340000000000146,1590364828.864000082015991,1590364829.720000028610229
53,1590364830,a23d25,39.800301244703391,-87.229858398437500,228.693359260509197,2.836660101125452,0.325120000000000,SWA399  ,False,False,False,3163,12192.000000000000000,12649.200000000000728,1590364829.966000080108643,1590364829.966000080108643
54,1590364830,a209c0,41.346021749205505,-86.955725929953815,154.638135523590762,332.241459398939980,-10.078720000000001,AAY2986 ,False,False,False,703,2766.059999999999945,2895.600000000000364,1590364829.923000097274780,1590364829.923000097274780
55,1590364830,a3c185,41.499206542968750,-87.467151988636374,51.354293387605289,312.157862116344347,0.975360000000000,N341FC  ,False,False,False,5320,1219.200000000000045,1226.819999999999936,1590364829.282999992370605,1590364829.282999992370605
56,1590364830,a1c39a,41.795343948622879,-88.623834654342261,58.829095107875595,4.513988458001262,0.000000000000000,N2122M  ,False,False,False,5363,1089.660000000000082,1082.040000000000191,1590364816.779000043869019,1590364816.779000043869019
57,1590364830,a26fc9,41.639254295219807,-87.946706372638062,129.702137110495755,56.814172740607034,0.325120000000000,SWA312  ,False,False,False,2255,1226.820000000000164,1249.680000000000064,1590364829.282999992370605,1590364829.782999992370605
58,1590364830,a1e05f,41.611229848053497,-87.361173407975969,88.665136037141906,341.039416570620347,0.000000000000000,N22TP   ,False,False,False,4074,1089.660000000000082,1097.279999999999973,1590364813.344000101089478,1590364824.992000102996826
59,1590364830,acc799,41.784322706319514,-87.750772875408813,,,,SWA1063 ,True,False,False,6560,,,1590364817.188999891281128,1590364817.188999891281128
60,1590364830,abf29f,41.806330276747879,-87.844188601471615,139.209154758168097,249.220918703008124,18.531840000000003,SWA195  ,False,False,False,6555,1798.320000000000164,1828.800000000000182,1590364828.391000032424927,1590364829.888000011444092
61,1590364830,a0a332,42.878614522643005,-87.871006556919667,137.659677671619392,222.273689006093718,21.457920000000001,FDX383  ,False,False,False,4326,2385.059999999999945,2438.400000000000091,1590364829.749000072479248,1590364829.950000047683716
62,1590364830,4bb145,43.643886760129767,-85.286996023995528,249.200199491819035,228.179830119864221,0.650240000000000,THY6185 ,False,False,False,703,9745.980000000001382,10142.220000000001164,1590364829.520999908447266,1590364829.967000007629395
63,1590364830,aa80a7,41.539947509765625,-87.163779518821002,79.164223345779618,242.102728969052350,0.650240000000000,N776PS  ,False,False,False,,815.340000000000032,800.100000000000023,1590364777.987999916076660,1590364807.447999954223633
64,1590364830,a1d44e,41.758102158368644,-87.785871638808146,68.072041864059173,42.856239134776587,-2.926080000000000,SWA2132 ,False,False,False,2443,373.379999999999995,335.279999999999973,1590364826.436000108718872,1590364829.720000028610229
65,1590364830,a6d5e0,42.311841027211329,-87.920134788335758,103.578416090975097,149.231458315642612,-0.325120000000000,N54DB   ,False,False,False,1573,5760.720000000000255,5981.700000000000728,1590364829.520999908447266,1590364829.967000007629395
66,1590364830,a198e5,39.395965576171875,-85.590123715608001,252.511838598664951,342.450997770932247,0.325120000000000,EJM16   ,False,False,False,2212,9144.000000000000000,9532.620000000000800,1590364829.196000099182129,1590364829.976999998092651
