OBJECTID,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
44,1590365410,89902f,45.803165759070446,-94.744033813476562,242.558027444910380,123.757474294308096,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11597.640000000001237,1590365409.259000062942505,1590365409.401999950408936
45,1590365420,89902f,45.789596557617188,-94.715077469988557,242.558027444910380,123.757474294308096,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11597.640000000001237,1590365419.779999971389771,1590365419.779999971389771
46,1590365430,89902f,45.778198242187500,-94.690760170541125,242.558027444910380,123.757474294308096,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11605.260000000000218,1590365429.111999988555908,1590365429.111999988555908
47,1590365440,89902f,45.765598103151483,-94.663902282714844,242.558027444910380,123.757474294308096,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11605.260000000000218,1590365439.493999958038330,1590365439.493999958038330
48,1590365450,89902f,45.753616333007812,-94.638307152724849,242.558027444910380,123.757474294308096,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11605.260000000000218,1590365449.867000102996826,1590365449.867000102996826
49,1590365460,89902f,45.744277954101562,-94.618344190644052,242.558027444910380,123.757474294308096,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11605.260000000000218,1590365457.134000062942505,1590365458.752000093460083
50,1590365470,89902f,45.731140136718750,-94.590409441692032,242.704734678175299,124.026899503949110,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11605.260000000000218,1590365468.539999961853027,1590365469.585999965667725
51,1590365480,89902f,45.718440686242054,-94.563583374023438,243.131263402749113,123.959059819676270,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11605.260000000000218,1590365478.923000097274780,1590365479.953999996185303
52,1590365490,89902f,45.706150895458151,-94.537422180175781,243.271641631600886,123.790881110234793,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11605.260000000000218,1590365489.138000011444092,1590365489.138000011444092
53,1590365500,89902f,45.694931806144069,-94.513595581054688,243.131263402749113,123.959059819676270,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11605.260000000000218,1590365498.365000009536743,1590365499.401999950408936
54,1590365510,89902f,45.680511474609375,-94.483091773056401,243.845370672690166,123.991797923113282,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11605.260000000000218,1590365509.562999963760376,1590365509.562999963760376
55,1590365520,89902f,45.667785644531250,-94.456161871189011,243.845370672690166,123.991797923113282,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11605.260000000000218,1590365519.941999912261963,1590365519.941999912261963
56,1590365530,89902f,45.656250000000000,-94.431777581935933,244.133355657462090,124.091901588717732,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11605.260000000000218,1590365529.278000116348267,1590365529.437000036239624
57,1590365540,89902f,45.643910553495758,-94.405860900878906,244.559557089276126,124.024344827187463,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11605.260000000000218,1590365539.210000038146973,1590365539.907999992370605
58,1590365550,89902f,45.630643165717686,-94.377845764160156,244.559557089276126,124.024344827187463,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11612.880000000001019,1590365549.983999967575073,1590365549.983999967575073
59,1590365560,89902f,45.619079589843750,-94.353466499142485,244.559557089276126,124.024344827187463,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11612.880000000001019,1590365559.369999885559082,1590365559.421999931335449
60,1590365570,89902f,45.607040405273438,-94.328077362804834,244.559557089276126,124.024344827187463,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11612.880000000001019,1590365569.278000116348267,1590365569.786999940872192
61,1590365580,89902f,45.594472076933258,-94.301628112792969,244.847782948983252,124.124118158119202,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11612.880000000001019,1590365579.344000101089478,1590365579.920000076293945
